date,open,high,low,close,volume
2007-09-26,565.0,565.0,565.0,565.0,249977500
2007-09-27,530.0,600.0,510.0,530.0,452358016
2007-09-28,510.0,530.0,480.0,510.0,136396000
2007-10-01,590.0,600.0,510.0,590.0,227410496
2007-10-02,590.0,590.0,590.0,590.0,0
2007-10-03,610.0,630.0,600.0,610.0,275751488
2007-10-04,620.0,620.0,600.0,620.0,66435500
2007-10-05,620.0,620.0,620.0,620.0,0
2007-10-08,620.0,620.0,620.0,620.0,0
2007-10-09,700.0,700.0,650.0,700.0,138373504
2007-10-10,730.0,740.0,700.0,730.0,211680000
2007-10-11,740.0,750.0,720.0,740.0,132957504
2007-10-17,790.0,790.0,720.0,790.0,202275504
2007-10-18,740.0,820.0,740.0,740.0,503560000
2007-10-19,720.0,760.0,700.0,720.0,162416000
2007-10-22,720.0,720.0,720.0,720.0,0
2007-10-23,710.0,710.0,680.0,710.0,193820992
2007-10-24,670.0,720.0,670.0,670.0,193568992
2007-10-25,690.0,690.0,670.0,690.0,111302000
2007-10-26,670.0,690.0,660.0,670.0,68905000
2007-10-29,660.0,680.0,650.0,660.0,42538500
2007-10-30,660.0,690.0,650.0,670.0,116017000
2007-10-31,670.0,670.0,670.0,670.0,0
2007-11-01,650.0,690.0,630.0,650.0,198385504
2007-11-02,640.0,650.0,610.0,640.0,89326496
2007-11-05,640.0,640.0,640.0,640.0,0
2007-11-06,650.0,670.0,620.0,650.0,156448000
2007-11-07,630.0,660.0,620.0,630.0,85130000
2007-11-08,610.0,630.0,600.0,610.0,100922000
2007-11-09,610.0,610.0,600.0,610.0,61776500
2007-11-12,610.0,610.0,590.0,610.0,27511000
2007-11-13,620.0,630.0,590.0,620.0,48091500
2007-11-14,630.0,640.0,610.0,630.0,59333000
2007-11-15,640.0,670.0,630.0,640.0,162911008
2007-11-16,640.0,640.0,640.0,640.0,0
2007-11-19,630.0,630.0,600.0,620.0,13868500
2007-11-20,620.0,620.0,570.0,610.0,90503000
2007-11-21,610.0,610.0,610.0,610.0,0
2007-11-22,590.0,600.0,580.0,590.0,16318000
2007-11-23,570.0,590.0,570.0,570.0,28836000
2007-11-26,570.0,570.0,570.0,570.0,0
2007-11-27,610.0,630.0,580.0,610.0,92047000
2007-11-28,630.0,640.0,590.0,630.0,158688992
2007-11-29,620.0,640.0,610.0,620.0,84142496
2007-11-30,620.0,630.0,610.0,620.0,36115000
2007-12-03,620.0,620.0,610.0,620.0,9446500
2007-12-04,630.0,640.0,600.0,630.0,110338000
2007-12-05,630.0,640.0,620.0,630.0,39000000
2007-12-06,640.0,650.0,630.0,640.0,82300000
2007-12-07,640.0,660.0,630.0,640.0,183589504
2007-12-10,660.0,670.0,640.0,660.0,191119504
2007-12-11,740.0,750.0,650.0,740.0,584757504
2007-12-12,740.0,780.0,720.0,740.0,541284480
2007-12-13,710.0,760.0,700.0,710.0,383261504
2007-12-14,710.0,710.0,710.0,710.0,0
2007-12-17,670.0,700.0,660.0,670.0,110301000
2007-12-18,670.0,670.0,670.0,670.0,0
2007-12-19,700.0,710.0,680.0,700.0,97622000
2007-12-26,700.0,700.0,700.0,700.0,0
2007-12-27,700.0,700.0,680.0,700.0,54791000
2007-12-28,700.0,690.0,660.0,680.0,55778000
2007-12-31,680.0,680.0,680.0,680.0,0
2008-01-02,660.0,680.0,640.0,660.0,44839000
