date,total_equity,gross_exposure,margin_used,maintenance_margin,available_equity,leverage,margin_status
2026-05-25,100000000.0,0.0,0.0,0.0,100000000.0,0.0,SAFE
2026-05-26,125571395.71000001,33264000.0,14727258.0,11642400.0,113928995.71000001,0.2649010932141052,SAFE
2026-05-27,125571395.71000001,33264000.0,14727258.0,11642400.0,113928995.71000001,0.2649010932141052,SAFE
2026-05-28,125571395.71000001,33264000.0,14727258.0,11642400.0,113928995.71000001,0.2649010932141052,SAFE
2026-05-29,87696867.34,0.0,0.0,0.0,87696867.34,0.0,SAFE
2026-06-02,120098482.71000001,32548000.0,16257726.0,11391800.0,108706682.71000001,0.2710109175866373,SAFE
2026-06-03,87370464.87200001,0.0,0.0,0.0,87370464.87200001,0.0,SAFE
2026-06-04,60188918.15450001,25200000.0,13085572.499999998,8820000.0,51368918.15450001,0.41868172369062473,SAFE
2026-06-05,83697960.19700001,0.0,0.0,0.0,83697960.19700001,0.0,SAFE
2026-06-08,60360882.17900002,24771000.0,12018005.999999998,8669850.0,51691032.17900002,0.4103816761084053,SAFE
2026-06-09,63810882.17900002,28221000.0,12018005.999999998,9877350.0,53933532.17900002,0.4422599882075827,SAFE
2026-06-10,64707882.17900002,29118000.0,12018005.999999998,10191300.0,54516582.17900002,0.44999154692548127,SAFE
2026-06-11,63465882.17900002,27876000.0,12018005.999999998,9756600.0,53709282.17900002,0.43922811820968877,SAFE
2026-06-12,63741882.17900002,28152000.0,12018005.999999998,9853200.0,53888682.17900002,0.44165623978506824,SAFE
2026-06-15,64914882.17900002,29325000.0,12018005.999999998,10263750.0,54651132.17900002,0.45174540899785603,SAFE
2026-06-17,61395882.17900002,25806000.0,12018005.999999998,9032100.0,52363782.17900002,0.4203213486657374,SAFE
2026-06-18,85526987.15900002,0.0,0.0,0.0,85526987.15900002,0.0,SAFE
2026-06-19,110672987.47150002,24991000.0,12549937.5,8746850.0,101926137.47150002,0.22580939189371357,SAFE
2026-06-22,111074987.47150002,24589000.0,12549937.5,8606150.0,102468837.47150002,0.22137297117687385,SAFE
2026-06-23,110940987.47150002,24723000.0,12549937.5,8653050.0,102287937.47150002,0.22284820573055714,SAFE
2026-06-24,111208987.47150002,24455000.0,12549937.5,8559250.0,102649737.47150002,0.2199012917572618,SAFE
2026-06-25,111208987.47150002,24455000.0,12549937.5,8559250.0,102649737.47150002,0.2199012917572618,SAFE
2026-06-26,113218987.47150002,22445000.0,12549937.5,7855749.999999999,105363237.47150002,0.1982441329079184,SAFE
2026-06-29,114223987.47150002,21440000.0,12549937.5,7503999.999999999,106719987.47150002,0.18770137932147996,SAFE
2026-06-30,89757748.79518753,0.0,0.0,0.0,89757748.79518753,0.0,SAFE
