date,ticker,side,quantity,avg_entry_price,mark_price,unrealized_pnl,stop_price,take_profit,status
2026-05-25,BREN.JK,FLAT,0,0.0,2380.0,0.0,,,FLAT
2026-05-26,BREN.JK,SHORT,12600,2337.66,2640.0,-3809484.000000002,,,OPEN
2026-05-27,BREN.JK,SHORT,12600,2337.66,2640.0,-3809484.000000002,2867.4814285714283,1631.2314285714283,OPEN
2026-05-28,BREN.JK,SHORT,12600,2337.66,2640.0,-3809484.000000002,2802.66,1717.6599999999999,OPEN
2026-05-29,BREN.JK,FLAT,0,0.0,3300.0,0.0,,,FLAT
2026-06-02,BREN.JK,SHORT,7900,4115.88,4120.0,-32547.999999999138,,,OPEN
2026-06-03,BREN.JK,FLAT,0,0.0,4160.0,0.0,,,FLAT
2026-06-04,BREN.JK,LONG,6300,4154.15,4000.0,-971144.9999999977,,,OPEN
2026-06-05,BREN.JK,FLAT,0,0.0,3590.0,0.0,,,FLAT
2026-06-08,BREN.JK,LONG,6900,3483.4799999999996,3590.0,734988.000000003,,,OPEN
2026-06-09,BREN.JK,LONG,6900,3483.4799999999996,4090.0,4184988.000000003,2930.0,5500.0,OPEN
2026-06-10,BREN.JK,LONG,6900,3483.4799999999996,4220.0,5081988.000000003,2930.0,5500.0,OPEN
2026-06-11,BREN.JK,LONG,6900,3483.4799999999996,4040.0,3839988.000000003,2930.0,5500.0,OPEN
2026-06-12,BREN.JK,LONG,6900,3483.4799999999996,4080.0,4115988.000000003,2930.0,5500.0,OPEN
2026-06-15,BREN.JK,LONG,6900,3483.4799999999996,4250.0,5288988.000000003,2930.0,5500.0,OPEN
2026-06-17,BREN.JK,LONG,6900,3483.4799999999996,3740.0,1769988.000000003,2930.0,5500.0,OPEN
2026-06-18,BREN.JK,FLAT,0,0.0,3820.0,0.0,,,FLAT
2026-06-19,BREN.JK,SHORT,6700,3746.25,3730.0,108875.0,,,OPEN
2026-06-22,BREN.JK,SHORT,6700,3746.25,3670.0,510875.0,4443.75,2300.0,OPEN
2026-06-23,BREN.JK,SHORT,6700,3746.25,3690.0,376875.0,4395.535714285714,2300.0,OPEN
2026-06-24,BREN.JK,SHORT,6700,3746.25,3650.0,644875.0,4329.107142857143,2300.0,OPEN
2026-06-25,BREN.JK,SHORT,6700,3746.25,3650.0,644875.0,4314.107142857143,2989.107142857143,OPEN
2026-06-26,BREN.JK,SHORT,6700,3746.25,3350.0,2654875.0,4281.964285714286,3031.964285714286,OPEN
2026-06-29,BREN.JK,SHORT,6700,3746.25,3200.0,3659875.0,4247.678571428572,3077.6785714285716,OPEN
2026-06-30,BREN.JK,FLAT,0,0.0,3090.0,0.0,,,FLAT
