date,ticker,side,quantity,price,gross_amount,fee,net_amount,multiplier,notional,tick_size,slippage_ticks,realized_pnl_delta,margin_delta,open_close,reason,decision_id,order_id,mark_price,order_type
2026-05-26,BREN.JK,SELL,12600,2337.66,29454516.0,73636.29000000001,29380879.71,1.0,29454516.0,0.1,0,0.0,0.0,OPEN,agent_open_short,BREN.JK-2026-05-25,8ae4e839-d6ae-4c93-9367-d5b0acb72391,2640.0,SELL_TO_OPEN
2026-05-29,BREN.JK,BUY,12600,3303.2999999999997,41621580.0,62432.37,41559147.63,1.0,41621580.0,0.1,0,-12167063.999999998,0.0,CLOSE,hard_risk,,risk_close_2026-05-29_hard_risk_404b0e51,3300.0,BUY_TO_CLOSE
2026-06-02,BREN.JK,SELL,7900,4115.88,32515452.0,81288.63,32434163.37,1.0,32515452.0,0.1,0,0.0,0.0,OPEN,agent_open_short,BREN.JK-2026-05-29-SKIP,76a4d1a2-612d-42e9-a805-4274d052eaff,4120.0,SELL_TO_OPEN
2026-06-03,BREN.JK,BUY,29100,4124.12,120011892.0,180017.83800000002,119831874.162,1.0,120011892.0,0.1,0,-239783.99999999366,0.0,CLOSE,agent_cover_close,BREN.JK-2026-06-02,4981d8a8-9e5e-4a07-b4ca-31464a5817e0,4160.0,BUY_TO_CLOSE
2026-06-04,BREN.JK,BUY,6300,4154.15,26171144.999999996,39256.7175,26131888.282499995,1.0,26171144.999999996,0.1,0,0.0,0.0,OPEN,agent_buy_open,BREN.JK-2026-06-03-SKIP,391716f3-e695-42d1-b120-69c17adf03f7,4000.0,BUY_TO_OPEN
2026-06-05,BREN.JK,SELL,6300,3586.41,22594383.0,56485.957500000004,22537897.0425,1.0,22594383.0,0.1,0,-3576761.9999999986,0.0,CLOSE,hard_risk,,risk_close_2026-06-05_hard_risk_20791e7a,3590.0,SELL_TO_CLOSE
2026-06-08,BREN.JK,BUY,6900,3483.4799999999996,24036011.999999996,36054.018,23999957.981999997,1.0,24036011.999999996,0.1,0,0.0,0.0,OPEN,agent_buy_open,BREN.JK-2026-06-05-SKIP,83ca197f-e5ae-4753-9fd7-b11997befb15,3590.0,BUY_TO_OPEN
2026-06-18,BREN.JK,SELL,16400,3776.22,61930008.0,154825.02,61775182.98,1.0,61930008.0,0.1,0,4800936.000000004,0.0,CLOSE,agent_sell_close,BREN.JK-2026-06-17,a04402bd-0ede-4069-a21b-e72a8581185e,3820.0,SELL_TO_CLOSE
2026-06-19,BREN.JK,SELL,6700,3746.25,25099875.0,62749.6875,25037125.3125,1.0,25099875.0,0.1,0,0.0,0.0,OPEN,agent_open_short,BREN.JK-2026-06-18-SKIP,08ab473f-1a91-4d57-9e20-f756a08e7135,3730.0,SELL_TO_OPEN
2026-06-30,BREN.JK,BUY,6700,3100.77625,20775200.875,31162.8013125,20744038.0736875,1.0,20775200.875,0.1,0,4324674.125000001,0.0,CLOSE,take_profit,,risk_close_2026-06-30_take_profit_6a5d39f8,3090.0,BUY_TO_CLOSE
