date,open,high,low,close,volume
2025-06-24,178.0,183.0,176.0,180.0,323464800
2025-06-25,181.0,182.0,175.0,177.0,226321000
2025-06-26,178.0,181.0,175.0,176.0,250187300
2025-06-30,176.0,183.0,174.0,180.0,266006900
2025-07-01,180.0,181.0,171.0,177.0,294092300
2025-07-02,178.0,178.0,172.0,174.0,168048000
2025-07-03,175.0,187.0,172.0,186.0,537964800
2025-07-04,188.0,189.0,181.0,182.0,252163200
2025-07-07,183.0,185.0,179.0,185.0,197244100
2025-07-08,185.0,188.0,183.0,186.0,292617700
2025-07-09,186.0,187.0,181.0,182.0,152266100
2025-07-10,182.0,184.0,177.0,178.0,207407000
2025-07-11,179.0,181.0,176.0,176.0,141335000
2025-07-14,177.0,180.0,175.0,175.0,326679400
2025-07-15,175.0,182.0,172.0,180.0,373809000
2025-07-16,180.0,193.0,180.0,190.0,860160200
2025-07-17,193.0,193.0,185.0,186.0,437081000
2025-07-18,187.0,189.0,182.0,187.0,414336300
2025-07-21,188.0,218.0,188.0,214.0,1682613800
2025-07-22,218.0,228.0,204.0,204.0,1120990000
2025-07-23,206.0,224.0,202.0,222.0,620339900
2025-07-24,224.0,226.0,210.0,216.0,457602100
2025-07-25,216.0,226.0,212.0,218.0,426783900
2025-07-28,222.0,238.0,222.0,236.0,780460700
2025-07-29,236.0,238.0,226.0,232.0,534942600
2025-07-30,232.0,240.0,224.0,232.0,476076400
2025-07-31,232.0,244.0,214.0,220.0,1050506600
2025-08-01,220.0,226.0,216.0,222.0,244661500
2025-08-04,222.0,236.0,216.0,230.0,540988800
2025-08-05,234.0,236.0,216.0,216.0,602455900
2025-08-06,218.0,228.0,218.0,226.0,294980800
2025-08-07,226.0,234.0,224.0,226.0,300905900
2025-08-08,226.0,228.0,218.0,222.0,170055100
2025-08-11,222.0,230.0,218.0,224.0,309197500
2025-08-12,228.0,234.0,226.0,228.0,320992000
2025-08-13,230.0,232.0,222.0,222.0,142526100
2025-08-14,222.0,228.0,222.0,226.0,148446600
2025-08-15,228.0,230.0,220.0,220.0,340679200
2025-08-19,222.0,226.0,218.0,224.0,222632700
2025-08-20,226.0,244.0,222.0,236.0,1037956400
2025-08-21,240.0,242.0,222.0,226.0,711674900
2025-08-22,226.0,226.0,220.0,220.0,288936100
2025-08-25,222.0,230.0,222.0,226.0,239543500
2025-08-26,228.0,236.0,226.0,226.0,432255400
2025-08-27,226.0,232.0,226.0,226.0,192059300
2025-08-28,234.0,248.0,230.0,230.0,820568200
2025-08-29,224.0,230.0,210.0,224.0,534849300
2025-09-01,216.0,224.0,212.0,218.0,359475100
2025-09-02,222.0,228.0,222.0,224.0,311846700
2025-09-03,226.0,232.0,224.0,226.0,251538400
2025-09-04,226.0,234.0,222.0,222.0,242474500
2025-09-08,224.0,228.0,216.0,216.0,256584900
2025-09-09,218.0,222.0,214.0,218.0,204690600
2025-09-10,222.0,224.0,214.0,218.0,175539400
2025-09-11,218.0,222.0,214.0,214.0,182750300
2025-09-12,216.0,222.0,214.0,220.0,165148800
2025-09-15,222.0,226.0,216.0,226.0,282187800
2025-09-16,226.0,232.0,222.0,224.0,386368400
2025-09-17,224.0,226.0,220.0,222.0,139886500
2025-09-18,224.0,224.0,214.0,216.0,256139200
2025-09-19,216.0,220.0,214.0,214.0,141667200
2025-09-22,220.0,242.0,218.0,238.0,1315700000
2025-09-23,248.0,270.0,248.0,270.0,1881689700
